topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1294701287636967426	http://twitter.com/user/status/1294701287636967426	البروفيسورة سارة جيلبرت قائدة فريق العمل في لقاح جامعة أكسفورد قامت بتطعيم ابنائها التوأم الثلاثة بلقاح #كورونا وهم يبلغون من العمر 21 سنة وجميعهم يدرسون الكيمياء الحيوية بنفس الجامعة ! جيلبرت : أنا لست قلقة ونحن نعمل إختبارات امنه للجميع https://t.co/blP6PGl9zX	0
COVID-19	1295657892155203585	http://twitter.com/user/status/1295657892155203585	#الصين :اللقاح المضاد ل #فيروس_كورونا سيكون متاحا تجاريا بحلول نهاية العام الجاري. وأوضح ليو جينغ تشن رئيس شركة الصين الدوائية(سينو فارم)لصحيفة "جوانغمينغ ديلي" التابعة للحزب الشيوعي الصيني،إن لقاح كورونا سيكلف أقل من1000 يوان(140 دولارا)،وسيتم إعطاؤه في جرعتين كل 28 يوما.#سكاي https://t.co/iQmpMEveYt	0
COVID-19	1293537282180489216	http://twitter.com/user/status/1293537282180489216	وزير الصحة الروسى: تطعيم الأطباء بلقاح #كورونا سيكون تطوعا وليس إجبارا #روسيا https://t.co/XRuwV4OFrr	1
COVID-19	1292929706157842438	http://twitter.com/user/status/1292929706157842438	الرئيس الروسي يعلن عبر صفحته على الفسبوك انه سيتم تسجيل اول لقاح لفيروس كورونا خلال الايام المقبلة ولن يكون فقط لروسيا بل سيتاح لجميع العالم هل ستنقذ روسيا العالم ؟ #كورونا	1
COVID-19	1298758793245995008	http://twitter.com/user/status/1298758793245995008	فاوتشي يحذر من "سلبية" التعجيل باستخدام لقاح لكوفيد-19 https://t.co/2WxUJDftKe #كورونا	0
COVID-19	1293764374075715584	http://twitter.com/user/status/1293764374075715584	#كورونا #روسيا @salrashed حوار جميل مدته تقريباً نصف ساعه يستميت خلالها دبلوماسي روسي متقاعد لإثبات نجاح وفاعلية اللقاح الروسي وعندما سأله المحاور هل ستأخذ اللقاح شخصياً؟ كانت المفاجأة 😁قال انا لأؤمن باللقاحات ولم أخذ لقاحات لاأنا ولاأسرتي أنا أؤمن بالعلاجات الطبيعية👇🏼👇🏼😂 https://t.co/4prLLOgBzk https://t.co/H9m40bNtzx	1
COVID-19	1291870310770376704	http://twitter.com/user/status/1291870310770376704	#فاوتشي يحذر من لقاح كورونا.. ويحث على "الكمامة" #Covid19 #كورونا #corona #كوفيد_19 https://t.co/74CMLmvSwW	1
COVID-19	1240966572769980417	http://twitter.com/user/status/1240966572769980417	المنطقة الصناعية القديمة في #قطر تقود الدولة إلى كارثة حقيقية بسبب تهرب ورفض العمال لإجراءات العزل، تحتل قطر أعلى عدد إصابات بوباء #كورونا من بين دول الخليج، ولازال يصر مسؤولي الحكومة على توجيه الإعلام لمهاجمة دول المقاطعة هربًا إلى الأمام بدلًا من حفظ وحشد الجهود لمواجهة الكارثة	1
COVID-19	1293176035702263808	http://twitter.com/user/status/1293176035702263808	اللقاح الروسي ضد #كورونا .. 📌20 دولة طلبت مسبقا ”أكثر من مليار جرعة“. 📌الإنتاج الصناعي سيبدأ الشهر القادم. 📌اللقاح أُطلق عليه تسمية (سبوتنيك في) : -(سبوتنيك) تيمناً باسم القمر الصناعي السوفياتي. - (في) تمثل أول حرف من كلمة لقاح في عدة لغات. https://t.co/El29oSEThy	0
COVID-19	1293704067521314816	http://twitter.com/user/status/1293704067521314816	#روسيا تعلن تسجيلها رسمياً "أول لقاح" ضد فيروس #كورونا.. وبوتين يؤكد اختباره على ابنته.. وسط مخاوف وحذر عالمي من سرعة إنتاج اللقاح وفاعليته.. فما القصة؟ https://t.co/6mAdAtshKJ	1
COVID-19	1250415758133387264	http://twitter.com/user/status/1250415758133387264	حتى الان العلاج الاقوى والاهم والمؤكد لفايروس كورونا بإرادة الله هو التباعد الاجتماعي والبقاء في منازلنا. في حال الالتزام بذلك فمن المؤكد بحول الله ان تتناقص الحالات وتبدأ في الانخفاض والسيطره عليه ريثما يتم اكتشاف لقاح لهذا الفايروس. (الالتزام هو العلاج) #كلنا_مسؤول #كورونا	0
COVID-19	1298280287672119296	http://twitter.com/user/status/1298280287672119296	مصر والصين توقعان اتفاقية تعاون لتصنيع لقاح كورونا الشهر ااقادم https://t.co/c5xFoGDu6Q	0
COVID-19	1261968774502195200	http://twitter.com/user/status/1261968774502195200	@MOPHQatar الرئيس التنفيذي لشركة AstraZeneca باسكال سوريوت قال انهم انتجوا 100 مليون جرعة ضد فيروس كورونا لقاح جامعة اكسفورد يكون متاح خلال اشهر https://t.co/SrXAGb5pyg	0
COVID-19	1293216009063628809	http://twitter.com/user/status/1293216009063628809	أعلنت #روسيا اليوم الثلاثاء إطلاق اسم Sputnik V على لقاح فيروس #كورونا الجديد الذي سجلته الحكومة الروسية بعدما طوره معهد جاماليا في العاصمة موسكو .. الإعلان عن أول لقاح مضاد ل #كورونا في العالم، #شكرا_روسيا #شكرا_بوتين #روسيا https://t.co/gLdrikvKbH	0
COVID-19	1367209882710138884	http://twitter.com/user/status/1367209882710138884	نبذة عن مركز تطعيم فايروس كورونا بمستشفى الهيئة بـ #ينبع الصناعية. • تستمر حملة التطعيم طيلة أيام الأسبوع من الساعة 4م حتى 10م في مبنى العيادات القديم. • التسجيل لأخذ اللقاح وفق الأولوية من خلال التطبيق الخاص بالمركز الطبي: https://t.co/0LSYLcVhRy https://t.co/oyJsG6MTvt	1
COVID-19	1367371374927486976	http://twitter.com/user/status/1367371374927486976	إجمالي عدد الإصابات بفيروس #كورونا في أنحاء العالم يتجاوز 1ر115 مليون وإعطاء 271 مليون جرعة لقاح.	1
COVID-19	1293265344174399488	http://twitter.com/user/status/1293265344174399488	وزارة الصحة: تدرس الجهات الفنية وبالتنسيق مع منظمة الصحة العالمية مضمونية وفعالية اللقاح الروسي الجديد لمواجهة #كورونا لافتا إلى أن اللقاح جديد،لم تكتمل المعلومات النهائية حوله حتى الآن.وأن وزارة الصحة لايجوز لها أن تستعمل أي لقاح إذا لم يقر من قبل منظمة الصحة العالمية. #العراق	1
COVID-19	1299366491037544453	http://twitter.com/user/status/1299366491037544453	المستشارة الألمانية تقول إن جائحة فيروس كورونا /كوفيد - 19/ ستتفاقم على الأرجح في الشهور المقبلة، وإن الحياة لن تعود إلى طبيعتها حتى يتم ابتكار لقاح مضاد للفيروس، مضيفة:"سيتعين علينا التعايش مع هذا الفيروس لفترة أطول". #قنا	0
COVID-19	1292237572010319872	http://twitter.com/user/status/1292237572010319872	يقول الدكتور فوشي إن فرصة لقاح فعال بشكل عالي لمقاومة فيروس كورونا "ليست كبيرة". 😔 https://t.co/lbORYVdtAz	0
COVID-19	1367198422172844036	http://twitter.com/user/status/1367198422172844036	وفيات لقاح استرازينكا أستونيا وكوريا الجنوبية https://t.co/w8zJmQxg8I	1
COVID-19	1293007907030695938	http://twitter.com/user/status/1293007907030695938	رسمياً غداً 12 اغسطس #روسيا ستقوم بتسجيل أول لقاح #كورونا في العالم https://t.co/AiUXQMb9MU	0
COVID-19	1293358374067871747	http://twitter.com/user/status/1293358374067871747	#بشرة_خير الرئيس بوتن يعلن عن تسجيل اول لقاح في العالم ضد فيروس كورونا #كوفيد_١٩ ويؤكد فعالية اللقاح وكفائته https://t.co/o8WaqFcfTi	0
COVID-19	1291323137414574081	http://twitter.com/user/status/1291323137414574081	#روسيا تعلن عن تسجيل لقاح لفيروس #كورونا هذا الشهر مع خطط لإنتاجه بكميات كبيرة في سبتمبر وسط مخاوف واسعة النطاق من أن الاختبار البشري للقاح غير مكتمل https://t.co/aMwRwMwlNE	1
