topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1423282834987372553	http://twitter.com/user/status/1423282834987372553	İllerimizde 100.000 nüfusa karşılık gelen bir haftalık toplam vaka sayısını gösteren insidans haritasının güncel halini ekte görebilirsiniz. Aşı olma oranı yüksek olan illerimiz vaka artışlarından çok daha az etkileniyor. Aşınızı zaman kaybetmeden olun. https://t.co/mAuwbXYnK9	1
COVID-19	1428301747110522881	http://twitter.com/user/status/1428301747110522881	amerikadayız pandemi var diye cuma namazını açık havada kılıyolar kızın teki bana diyo ki wow yoga class	1
COVID-19	1443304873471221760	http://twitter.com/user/status/1443304873471221760	Öğrenim kredilerine bu pandemi döneminde bir Af gelmeyecek mi? Bu kadar genç kuşak şu anda mağdur durumunda. Özellikle işsizliğin %12 olan bir dönemde?	1
COVID-19	1421163651084562438	http://twitter.com/user/status/1421163651084562438	Tedbirli olmaz ve aşı olmazsak salgını durdurmak çok uzun sürebilir. Ödediğimiz bedelleri, kaybettiğimiz sevdiklerimizi düşünün ve aşınızı olun. https://t.co/RVlhe7786O https://t.co/9Vi5uOZTqJ	1
COVID-19	1428447916826501126	http://twitter.com/user/status/1428447916826501126	Sağlık Bakanı: İki doz aşı olanlar hiç aşı yapılmamış gibidir. Uğur Şahin: Delta varyantına etkili yeni aşı çalışmasına başladık. Aşı olanlar şimdi hayal kırıklığı içinde ve enayi yerine konuldukları kaygısında. Haklılar.	1
COVID-19	1432663824885239810	http://twitter.com/user/status/1432663824885239810	Aşı olanlar da hastalık kapıp bulaştırıyor; O halde neden sadece aşısızlara PCR şartı koşuluyor. O halde; komple herkesten istensin. Mantık? Aşışılar da bulaştırıyorsa o halde onlara da yaptırım gelsin.	1
COVID-19	1409385153739243529	http://twitter.com/user/status/1409385153739243529	BioNTech aşıları ile ilgili önemli bilgi: özellikle ikinci dozdan sonra sıklıkla gerçekleştiğini tespit ettiğimiz koltuk altı lenf bezi şişkinliği olursa lütfen endişe etmeyin! Bu konudaki yeni yayınlanan makalemiz ve hakkında Reuters’e verdiğim demeç. https://t.co/AJffCFLsnD	1
COVID-19	1438956575276814343	http://twitter.com/user/status/1438956575276814343	Arkadaşlar, abiler-ablalar lütfen destek olup sesimizi duyurun çünkü bizlere aşı yapmak/zorlamak olduğu aleni belli olan PCR tuzağına çekmek istiyorlar. #öğrenciyepcrdarbesi	1
COVID-19	1409655459552718854	http://twitter.com/user/status/1409655459552718854	GELİN BİR İLKİ BAŞLATALIM; Aşı yaptırmayan herkese hakaret eden BİNGÜR SÖNMEZ’e manevi tazminat davası açılmalıdır. Pazartesi Avukatlarım aracılığıyla dava açacağım. Kazanılan parayı da hayır kurumlarına bağışlayacağım. @aveslemyordem	0
COVID-19	1417391858997682181	http://twitter.com/user/status/1417391858997682181	🇺🇸 ABD Hastalık Kontrol ve Önleme Merkezleri (CDC) Direktörü Dr. Rochelle Walensky:  “Covid-19 kaynaklı ölümler ve hastane yatışlarının neredeyse %100'ü aşılanmamış kişilerde görülüyor. Covid-19 salgını, artık aşılanmayanların salgını haline geliyor.”	1
COVID-19	1410341391683686402	http://twitter.com/user/status/1410341391683686402	Hemşire arkadaşımız Uğur Demirel, Gaziantep-Şahinbey’de aşıların bir an önce tamamlanması için çalışıyor. Covid-19 yoğun bakım biriminde görevli meslektaşı Sare Hanımla nişanlı, Temmuza düğün tarihi aldılar: Düğünden önce, aşı salgına karşı üstünlük kazanmalı. https://t.co/3XvAh9Hrtx	1
COVID-19	1420914769549217795	http://twitter.com/user/status/1420914769549217795	ŞIRNAK, çok yüksek riskli il (Kırmızı) kategorisinden yüksek riskli il (Turuncu) kategorisine geçti. Hedefimiz, daha yüksek aşı oranıyla “düşük risk” grubu!	1
COVID-19	1427716618201845760	http://twitter.com/user/status/1427716618201845760	Corona aşısını bulan iki Türk bilim insanı ile övünüyoruz. Bu başarının arkasında aşı araştırmalarına 750 milyon € ayıran Alman Devleti olduğunu unutmayalım. Ülke olarak servetimizi betona değil bilime gömseydik şimdi Alman veya Çin aşısı yerine Milli Aşımızı konuşuyorduk.	1
COVID-19	1420339034036097027	http://twitter.com/user/status/1420339034036097027	Sevcan Orhan: Aşılar uygulanmaya başladığından beri hastaneye yatış ve can kaybı oranı ne kadar azaldı farkında mısınız? Herkes aşı olduğunda bizi çok daha güzel günler karşılayacak. Lütfen, siz de aşınızı olun. https://t.co/xUKjBLpNsX	1
COVID-19	1420010953412907010	http://twitter.com/user/status/1420010953412907010	🇹🇷Sağlık Bakanlığı, vakaların özelliklerini, aşılı ve aşısız test pozitiflerin istatistiklerini, aşı sonrası takiplere ait tüm verileri detaylı şekilde vermelidir. Aşı tereddütünün önüne sadece dünya değil, Türkiye verileriyle geçmeliyiz…	0
COVID-19	1442504516235059201	http://twitter.com/user/status/1442504516235059201	Arkadaşlar güncel bildiriyorum dilekçeyi görünce yarından itibaren testsiz aşısız giremezsin diyenler bugün anayasaya sizi koruyor dedi. Girebilirsiniz dendi. Dilekçemi verdim. Ne aşı ne test olmadan okuluma girebiliyorum!!	0
COVID-19	1443305408106532865	http://twitter.com/user/status/1443305408106532865	Hemen herkesin çevresinde aşıya bağlı kalp krizi, ölüm vakaları artarak gidiyor, cenazelerde aşıdan öldü fısıldaşmaları artık yüksek çığlıklara dönüşecek o zaman hesap vermekten nasıl kurtulacaksınız? #BioNTech	1
COVID-19	1408718112694837258	http://twitter.com/user/status/1408718112694837258	Aşı olduktan sonra ölen insanlar var. Ama aşı olmadıktan sonra ölen insanlar da var. Ölenlerin ölüm sebepleri dikkatle incelenmeden bir sonuca varılmaz. Şu an tüm dünyada görünen gerçek, aşı sayesinde Covid-19'den ölümler çok çok azaldı.	1
COVID-19	1427251991525396483	http://twitter.com/user/status/1427251991525396483	Birkaç gündür hastayım, 3 doz aşılı olduğum için kafam o kadar rahattı ki enfekte de olmuş olabilirdim ama kötüleşmeyeceğimi biliyordum nitekim testim negatif kanlarım normal, zaten toparladım da. Korkarak geçirdiğimiz bir yılın yanında şu güven duygusu için bile aşı olunur.	1
COVID-19	1436629655264677895	http://twitter.com/user/status/1436629655264677895	Sağlık bakanı istiyoruz , aşı bakanı değil. Hastalık belirtisi olmayan çocuklara PCR testini reva gören biri tüccar mıdır sağlıkçı mıdır? #fahrettinkocaistifa	1
COVID-19	1413133021784403970	http://twitter.com/user/status/1413133021784403970	Corona bitene kadar tweet atmıyorum	0
