topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1.3593509433561743e+18	http://twitter.com/user/status/1359350943356174337	India's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines. https://t.co/cSCb40c2mt	0
COVID-19	1.350165688061669e+18	http://twitter.com/user/status/1350165688061669378	Here’s what I’m doing while I wait my turn for the COVID-19 vaccines: masking up, staying at least six feet apart from others, avoiding crowds, and not gathering inside with people I don’t live with. This is how I’ll make a difference and help #SlowTheSpread.	0
COVID-19	1.3697495391549194e+18	http://twitter.com/user/status/1369749539154919425	This afternoon, I’m hosting an event with the CEOs of Johnson &amp; Johnson and Merck to discuss our historic partnership to produce more COVID-19 vaccines. Tune in. https://t.co/S3OxWrOUgt	0
COVID-19	1.3501649956869363e+18	http://twitter.com/user/status/1350164995686936578	Help shops like mine stay open. Mask up, avoid crowds, and stay at least six feet apart until enough of us get COVID-19 vaccines. #SlowTheSpread	0
COVID-19	1.3700080764897894e+18	http://twitter.com/user/status/1370008076489789440	As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital. https://t.co/OylatTad9W	0
COVID-19	1.367726730044207e+18	http://twitter.com/user/status/1367726730044207104	Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳this morning. Govt of Rwanda 🇷🇼 is grateful to the Govt of India 🇮🇳 and other partner countries for their valuable contribution to the fight against #COVID19 @DrSJaishankar	0
COVID-19	1.365684673205084e+18	http://twitter.com/user/status/1365684673205084166	Information on Astrazeneca and SinoVac COVID-19 Vaccines from UP-PGH COVID-19 Groups 💉💉💉 https://t.co/wpqUkoqjxW	0
COVID-19	1.3698884834147123e+18	http://twitter.com/user/status/1369888483414712322	Four former presidents have banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19 vaccines — and they're all pictured getting inoculated against the virus https://t.co/nG9V6jalhl	0
COVID-19	1.3700038794552975e+18	http://twitter.com/user/status/1370003879455297540	America has always been at its best when we are looking out for one another and pulling together in common cause. Now, with the development of safe and effective COVID-19 vaccines, we have the chance to rise to the moment again. https://t.co/rbuQstkH9R	0
COVID-19	1.3541663715260416e+18	http://twitter.com/user/status/1354166371526041603	There is so much misinformation and fear-mongering around #COVID19 vaccines for pregnant and nursing women. A brilliant @YaleMSTP student @Aliceluculligan and I wrote this OpEd to dispel these myths, and provide relevant facts. Please share widely. https://t.co/iyneLwvE5y	0
